Date,Open,High,Low,Close,Adj Close,Volume
07-08-2018,904.650024,931.900024,898.700012,927.25,906.471802,4450696
08-08-2018,929.099976,936.5,921,935,914.048096,2163746
09-08-2018,934.799988,934.799988,909.299988,915.299988,894.789551,2536080
10-08-2018,915,932,913,920.099976,899.481995,2105317
13-08-2018,915,924,910.549988,913.650024,893.176575,1316517
14-08-2018,914.200012,927,914.049988,925.599976,904.858765,1404450
16-08-2018,924,929,917,919.450012,898.846497,1196749
17-08-2018,924.900024,945,921.549988,941.549988,920.451233,2697290
20-08-2018,942,943.5,914.150024,921.700012,901.046082,2529831
21-08-2018,924.650024,927.950012,905.799988,916.299988,895.767151,2531200
23-08-2018,925,926.400024,907.099976,911.900024,891.465637,1571386
24-08-2018,912.400024,915.900024,882.5,885.349976,865.510559,3218302
27-08-2018,894,900,887.099976,890.900024,870.93634,1789147
28-08-2018,895,897.75,871.549988,888.299988,868.394592,3563757
29-08-2018,888,895.599976,876.5,882.799988,863.017761,1863018
30-08-2018,884.450012,891,876,878.349976,858.66748,1758855
31-08-2018,881,894.799988,877.099976,891.900024,871.913879,1677232
03-09-2018,896.849976,921.349976,891.150024,912.75,892.296692,4972521
04-09-2018,917,928.400024,877.099976,880.900024,861.1604,3880086
05-09-2018,875.099976,882.400024,851.650024,863.900024,844.541382,2990706
06-09-2018,871,883.5,858.099976,867.150024,847.718506,2399973
07-09-2018,871,876,861.049988,867.450012,848.011719,1297983
10-09-2018,864,868,850,857.549988,838.333557,1576682
11-09-2018,860,860.900024,815.799988,820.75,802.358215,4918816
12-09-2018,817,838.349976,790.150024,826.450012,807.930542,6728840
14-09-2018,838,852,829.25,842.599976,823.718628,3329172
17-09-2018,834.799988,838,816.700012,823.450012,804.997742,2843632
18-09-2018,819,843.950012,818.650024,824.900024,806.415344,3331397
19-09-2018,812.5,829.799988,786.099976,823.599976,805.144409,5347338
21-09-2018,834.200012,836.650024,779.200012,800.599976,782.65979,4259892
24-09-2018,801.799988,805,773.349976,791.099976,773.372681,3244812
25-09-2018,791,814.299988,778.150024,796.849976,778.993835,3150095
26-09-2018,812,820,802.150024,814.700012,796.443848,4080359
27-09-2018,833.599976,843.650024,815.5,821.450012,803.042603,7668506
28-09-2018,823.099976,831.150024,794.349976,805.599976,787.547607,3145969
01-10-2018,800,814.400024,782,809.75,791.604797,2445752
03-10-2018,811.5,813,791.200012,794.5,776.696533,3478716
04-10-2018,785,797.5,760.299988,776.700012,759.29541,4579535
05-10-2018,788.25,815.700012,784,792.099976,774.350342,7398167
08-10-2018,792,819,774.700012,813.549988,795.31958,3961739
09-10-2018,818.950012,820.950012,732.299988,749.5,732.704895,8683946
10-10-2018,746,796.349976,740,788.549988,770.879822,7285084
11-10-2018,764,798,754.549988,778.900024,761.446045,3766505
12-10-2018,784,809.75,777.099976,805.150024,787.107849,4322158
15-10-2018,805.200012,812,788.75,807.200012,789.111938,2234430
16-10-2018,811,819.650024,808,810.599976,792.435608,2347048
17-10-2018,817.099976,823.299988,792.549988,800.099976,782.171021,2975579
19-10-2018,810,810,782.5,788.700012,771.026428,2892515
22-10-2018,793.400024,795.900024,773.200012,774.799988,757.437866,2766247
23-10-2018,771.900024,787,766.150024,778.200012,760.76178,2239883
24-10-2018,785.349976,794.799988,772.25,791.599976,773.861389,2060580
25-10-2018,785,796,777.799988,791.25,773.519287,1681346
26-10-2018,790,820,786.650024,806.900024,788.818604,3738778
29-10-2018,813,834.450012,807.650024,829.75,811.156616,2473393
30-10-2018,829,841.400024,819.400024,830.5,811.889771,1876874
31-10-2018,837.5,847.900024,818.5,844.599976,825.673828,2435865
01-11-2018,844.599976,862.900024,834.400024,854.450012,835.303162,2485725
02-11-2018,860,884,857.900024,871,851.482239,3078543
05-11-2018,870,872.400024,856.549988,863.700012,844.345825,1903690
06-11-2018,869,877.599976,840.200012,846.25,827.286865,2504504
07-11-2018,855,855.950012,847.599976,850.150024,831.099487,331169
09-11-2018,855,865,844,847.650024,828.655518,3528039
12-11-2018,857,901.5,843.200012,894.75,874.699951,13985301
13-11-2018,889.200012,899.650024,879.099976,897.5,877.388367,4432001
14-11-2018,897.049988,897.5,883,892.200012,872.207214,2606605
15-11-2018,892.25,924,889,920.799988,900.166321,4711756
